MatchStatus,RISKDATE,COMMENT,QUANTITYDIFFERENCE,TRADEID,DESKNAME,RECONDATE,BUY SELL,TRADE_DATE,SETTLE_DATE,INVENTORY INVENTORY,PRICE,CUSIP,QUANTITY,ORIGINAL_FACE,PRICE_TOLERANCE,QUANTITY_TOLERANCE,PRICEDIFFERENCE,ORIGINALDIFFERENCE,TRADING_UNIT_NAME,Catalyst_ACTION,Catalyst_ACTION_SUBTYPE,Catalyst_BUYSELL,Catalyst_CUSIP,Catalyst_ENTRYDATETIME,3 Catalyst ETID,Catalyst EXECUTIONTIME,Catalyst Id,Catalyst_INVENTORY,Catalyst_ORIGINALFACE,Catalyst_PRICE,Catalyst_PRICE_TOLERANCE,Catalyst_PRINICIPAL,Catalyst_quantity,Catalyst_quantity_tolerance,Catalyst_RECONDATE,Catalyst_SEKECTDATE,Catalyst_TRADEDATE,Catalyst_TRADEID,Impact_BLOTTER_CODE,Impact_BUSINESS_DT,Impact_BUYSELL,Impact_CRNT_POOL_FCTR_RT,Impact_CUSIP,Impact_INVENTORY,Impact_ORIGINALFACE,Impact_PRICE,Impact_PRICE_TOLERANCE,Impact_QUANTITY,Impact_QUANTITY_TOLERANCE,Impact_RECONDATE,Impact_SETTLEDATE,Impact_TRADEDATE,Impact_TRADEID,Anomaly
Quantity Break,03/03/2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems arein line\n""}]",3.0,68911236.0,RMBS Agency CMOs,03/06/2025,B,03/03/2025,03/06/2025,CM10,20.1914,38382EW86,119966816.0,339309261.0,0.001,1.0,0.0,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03/03/2025,68911236 IPP ,03/03/2025,63386.0,CM10,339309261.0,20.1914,0.001,24222987.27,119966816.0,1.0,03/06/2025,03/06/2025,03/03/2025,68911236 IPP ,6P,03/03/2025,B,0.353,38382EW86,CM10,339309261.0,20.1914,0.001,119966813.0,1.0,03/06/2025,03/06/2025,68911236.0,No,1
Price Break,3/4/2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""})",0.0,69014525.0,Treasury,03/06/2025,B,03/04/2025,03/05/2025,A480,98.8512,912797LN5,100.0,100.0,0.001,1.0,0.0012,0.0,Liquid Products - Treasuries,NEW,ALLOCATING,B,912797LN5,03/04/2025,69014525 IPP ,03/04/2025,129126.0,A480,100.0,98.8512,0.001,98.85,100.0,1.0,03/06/2025,03/05/2025,03/04/2025,69014525 IPP ,6N,03/04/2025,B,1.0,912797LN5,A480,100.0,98.8512,0.001,100.0,1.0,03/06/2025,03/05/2025,69014525.0,No,0
Quantity_Break,03/03/2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3.0,68911237.0,RMBS Agency CMOs,03/06/2025,S,03/03/2025,03/06/2025,CM10,20.1914,38382EW86,119966816.0,339309261.0,0.001,1.0,0.0,0.0,RMBS,NEW,,S,38382EW86,03/03/2025,68911237 IPP ,03/03/2025,63385.0,CM10,339309261.0,20.1914,0.001,24222987.27,119966816.0,1.0,03/06/2025,03/06/2025,03/03/2025,68911237 IPP ,6P,03/03/2025,S,0.353,38382EW86,CM10,339309261.0,20.1914,0.001,119966813.0,1.0,03/06/2025,03/03/2025,68911237.0,No,1
Quantity_Break,03/03/2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3.0,68911235.0,RMBS Agency CMOs,03/06/2025,B,03/03/2025,03/06/2025,TQ40,20.1914,38382EW86,119966816.0,339309261.0,0.001,1.0,0.0,0.0,RMBS,NEW,MATCH,B,38382EW86,03/03/2025,68911235 IPP ,03/03/2025,63384.0,TQ40,339309261.0,20.1914,0.001,24222987.27,119966816.0,1.0,03/06/2025,03/06/2025,03/03/2025,68911235 IPP ,6P,03/03/2025,B,0.353,38382EW86,TQ40,339309261.0,20.1914,0.001,119966813.0,1.0,03/06/2025,03/03/2025,68911235.0,No,1
Price Break,3/4/2025,"[{""price break driven by rounding because quantity is less than 1,000. total money still matches between systems\n""}]",0.0,68984511.0,Treasury,03/06/2025,B,03/04/2025,03/05/2025,A480,98.8512,912797LN5,100.0,100.0,0.001,1.0,0.0012,0.0,Liquid Products - Treasuries,SUBMITALLOC,ALLOCATING,B,912797LN5,03/03/2025,68911235 IPP ,03/03/2025,108589.0,A480,100.0,98.8512,0.001,98.85,100.0,1.0,03/06/2025,03/05/2025,03/04/2025,68911235 IPP ,6N,03/04/2025,B,1.0,912797LN5,A480,100.0,98.8512,0.001,100.0,1.0,03/06/2025,03/04/2025,68984511.0,No,0
Catalyst Only,3/6/2025,,1909612.0,69145541.0,High Yield - Industry,03/06/2025,B,03/06/2025,03/07/2025,H210,98.125,05351CAA5,1909612.0,1909612.0,0.001,1.0,98.125,1909612.0,High Yield Trading,TRADEUPDATE,RESEND_TOEXT_SYS,B,05351CAA5,03/04/2025,68984511 IPP ,03/04/2025,207413.0,H210,1909612.0,98.125,0.001,1873806.78,1909612.0,1.0,03/06/2025,03/07/2025,03/06/2025,68984511 IPP ,,01/01/1900,,0.0,,,0.0,0.0,0.0,0.0,0.0,01/01/1900,01/01/1900,,No,1
Impact_ Only,3/5/2025,"[{""blotter code updated directly in impact causing a false break, due to an additional line item for cxl\/ correct only in impact systems are in sync and no action is needed\n""}]",-71000000.0,68710014.0,Agency,03/06/2025,S,02/26/2024,03/07/2024,UV70,100.086,45950KDL1,71000000.0,71000000.0,0.001,1.0,-100.086,-71000000.0,Liquid Products Agencies,,,,,01/01/1900,69145541 IPP ,01/01/1900,0.0,,0.0,0.0,0.0,,0.0,0.0,01/01/1900,01/01/1900,01/01/1900,69145541 IPP ,6S,03/06/2025,S,1.0,45950KDL1,UV70,71000000.0,100.086,0.001,71000000.0,1.0,03/06/2025,02/26/2025,68710014.0,No,1
Impact_ Only,3/6/2025,,-34000.0,65582414.0,High Grade - Industry,03/06/2025,B,02/26/2024,03/05/2024,2F10,100.31,38148BAE8,34000.0,34000.0,0.001,1.0,-100.31,-34000.0,High Grade Trading,,,,,01/01/1900,,01/01/1900,0.0,,0.0,0.0,0.0,,0.0,0.0,01/01/1900,01/01/1900,01/01/1900,,6A,03/06/2025,B,1.0,38148BAE8,2F10,34000.0,100.31,0.001,34000.0,1.0,03/06/2025,12/03/2024,65582414.0,No,1
Impact_ Only,3/5/2025,"[{ ""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in impact, all systems in line, break to drop off from""})",-16000.0,65858424.0,High Grade - Industry,03/06/2025,B,12/03/2024,12/04/2024,2F10,100.17,55261FAL8,16000.0,16000.0,0.001,1.0,-100.17,-16000.0,High Grade Trading,,,,,01/01/1900,,01/01/1900,0.0,,0.0,0.0,0.0,,0.0,0.0,01/01/1900,01/01/1900,01/01/1900,,6P,03/06/2025,B,1.0,55261FAL8,2F10,16000.0,100.17,0.001,16000.0,1.0,03/06/2025,12/10/2024,65582414.0,No,1
Impact_ Only,3/5/2025,"[{ ""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in impact, all systems in line, break to drop off from""})",-10000.0,6541323.0,High Grade - Industry,03/06/2025,B,11/27/2024,11/29/2024,2F10,100.17,55261FAL8,10000.0,10000.0,0.001,1.0,-100.17,-10000.0,High Grade Trading,,,,,01/01/1900,,01/01/1900,0.0,,0.0,0.0,0.0,,0.0,0.0,01/01/1900,01/01/1900,01/01/1900,,6P,03/06/2025,B,1.0,55261FAL8,2F10,10000.0,100.17,0.001,10000.0,1.0,03/06/2025,11/27/2024,65441323.0,No,1
