As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Comments,Anomaly
4/30/2024,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,20000,35000,-15000,Break,Inconsistent variations in outstanding balance,Yes
3/31/2024,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED ORIGINATING FEES,100000,10000,90000,Break,Consistent increase or decrease in outstanding balances,No
2/29/2024,00002,1619205,62695,EUR,ALL OTHER LOANS,PRINCIPAL,60000,10000,50000,Break,Huge spike in outstanding balances,Yes
1/31/2024,00002,1618001,4929,POUND,ALL OTHER LOANS,PRINCIPAL,70000,80000,10000,Break,Outstanding balances are inline with previous months,No
12/31/2023,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,10000,10000,0,Match,,
11/30/2023,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATING FEES,10200,10000,200,Break,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Historical data can be refered with a combination of Company, Accoun, AU,Currency and Primary Account",,,,,,,,,,,,
Sample histrical data (last 6 months),,,,,,,,,,,,
As of Date,Company ,Account,AU,Currency ,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Comments,
4/30/2024,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,20000,60000,-40000,Break,,
3/31/2024,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,20000,40000,-20000,Break,,
2/29/2024,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,20000,20000,0,Match,,
1/31/2024,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,20000.01,20000,0.01,Match,Difference is within Tolerance (less than 1 USD),
12/31/2023,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,10000,10000,0,Match,,
11/30/2023,00000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,10200,10000,200,Break,,
4/30/2024,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,80000,0,80000,Break,,
3/31/2024,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,80000,10000,70000,Break,,
2/29/2024,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,60000,0,60000,Break,,
1/31/2024,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,60000,10000,50000,Break,,
12/31/2023,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,40000,0,40000,Break,,
11/30/2023,00000,1619288,5701,USD,ALL OTHER LOANS,DEFERRED COSTS,40000,10000,30000,Break,,
4/30/2024,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10000,10000,0,Match,,
3/31/2024,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10500.5,10500,0.5,Match,Difference is within Tolerance (less than 1 USD),
2/29/2024,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10600,10600,0,Match,,
1/31/2024,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10199.5,10200,-0.5,Match,Difference is within Tolerance (less than 1 USD),
12/31/2023,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10100,10100,0,Match,,
11/30/2023,00002,1618001,62695,USD,ALL OTHER LOANS,PRINCIPAL,10000,10000,0,Match,,
4/30/2024,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,60000,70000,-10000,Break,,
3/31/2024,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,50000,60000,-10000,Break,,
2/29/2024,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,40000,50000,-10000,Break,,
1/31/2024,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,30000,40000,-10000,Break,,
12/31/2023,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,20000,30000,-10000,Break,,
11/30/2023,00002,1619288,5701,USD,ALL OTHER LOANS,PRINCIPAL,10000,20000,-10000,Break,,
